,x_0,y_0,delta_0,v_0,phi_0,phi_dot_0,beta_0,theta_0,stvel_0,acc_0,comp_0,oob_0
153,-6.9517927,-38.572243,0.09203209,10.000344,1.5274016,1.7122165,-0.05426618,16.357689,-0.41345766,0.0027502298,0.044188827,0.0
154,-6.942042,-38.472717,0.08789751,10.000372,1.5445237,1.7833173,-0.06612892,16.457693,-0.620956,0.00078940525,0.043407332,0.0
155,-6.9328146,-38.37314,0.08168795,10.00038,1.562357,1.8273879,-0.07818319,16.557697,-0.818001,0.0042492566,0.04391729,0.0
156,-6.924163,-38.27351,0.07350794,10.000422,1.5806308,1.8406166,-0.09020274,16.6577,-1.0001699,0.00280358,0.04447031,0.0
157,-6.9161344,-38.17383,0.063506246,10.00045,1.5990369,1.8204387,-0.10193255,16.757704,-1.1631721,0.00040544776,0.04548746,0.0
158,-6.9087715,-38.074097,0.051874522,10.000454,1.6172414,1.7650484,-0.11310172,16.85771,-1.3037033,-0.00070783077,0.04565072,0.0
159,-6.90211,-37.974316,0.03883749,10.000447,1.6348919,1.6734927,-0.12343069,16.957714,-1.4197845,0.0006917947,0.04572252,0.0
160,-6.89618,-37.874485,0.024639642,10.000454,1.6516267,1.545715,-0.13263924,17.057718,-1.5101744,-0.00015151649,0.04585254,0.0
161,-6.891001,-37.774616,0.009537898,10.000452,1.6670839,1.3827941,-0.14045529,17.157722,-1.5732639,-0.0008452425,0.045723982,0.0
162,-6.8865857,-37.67471,-0.006194741,10.000443,1.6809119,1.1865298,-0.14662506,17.257727,-1.6072396,0.0013931469,0.047006063,0.0
163,-6.8829355,-37.57477,-0.022267139,10.000458,1.6927772,0.9593811,-0.15091881,17.35773,-1.6133811,0.0024487358,0.046736673,0.0
164,-6.880042,-37.474808,-0.038400948,10.000483,1.702371,0.7047611,-0.1531362,17.457737,-1.5917654,0.0022179068,0.045676854,0.0
165,-6.877886,-37.374825,-0.054318603,10.0005045,1.7094185,0.426682,-0.15311427,17.557741,-1.5430853,0.00020635538,0.04572501,0.0
166,-6.8764367,-37.27483,-0.06974946,10.000506,1.7136854,0.12967636,-0.15073153,17.657745,-1.4662701,0.0009415251,0.046004623,0.0
167,-6.8756523,-37.17483,-0.08441216,10.000516,1.7149822,-0.18150519,-0.14591058,17.757751,-1.3638674,0.003310569,0.046302494,0.0
168,-6.8754797,-37.074825,-0.09805083,10.000549,1.7131671,-0.5016535,-0.13861823,17.857756,-1.2367781,0.0061320895,0.047089156,0.0
169,-6.875855,-36.97482,-0.11041861,10.00061,1.7081505,-0.825263,-0.12886855,17.957762,-1.0870179,0.006868532,0.046165083,0.0
170,-6.8767037,-36.874817,-0.12128879,10.000679,1.6998979,-1.1466027,-0.116723605,18.057768,-0.92268777,0.0065257386,0.047112174,0.0
171,-6.8779416,-36.77482,-0.13051566,10.000745,1.6884319,-1.4599516,-0.10229336,18.157774,-0.73868394,0.0077740946,0.046527267,0.0
172,-6.8794756,-36.674824,-0.13790251,10.000822,1.6738324,-1.7598825,-0.085734904,18.257782,-0.53976697,0.009069047,0.046015166,0.0
173,-6.881206,-36.57483,-0.14330018,10.000913,1.6562335,-2.0409968,-0.0672463,18.35779,-0.33391327,0.0015602486,0.04615035,0.0
174,-6.883025,-36.47484,-0.14663932,10.000929,1.6358236,-2.2981362,-0.04706595,18.4578,-0.12875608,-0.083997175,0.04539731,0.0
175,-6.8848214,-36.374844,-0.14792687,10.000089,1.6128422,-2.5273259,-0.025474597,18.557808,0.042591523,-0.21757431,0.04588617,0.0
176,-6.8864784,-36.274857,-0.14750096,9.997912,1.587569,-2.726417,-0.00277349,18.65781,0.17266788,-0.16575402,0.04602118,0.0
177,-6.887878,-36.17489,-0.14577428,9.996255,1.5603048,-2.8906713,0.020736573,18.75779,0.26389202,-0.119256504,0.045930836,0.0
178,-6.888902,-36.07493,-0.14313535,9.995063,1.531398,-3.018925,0.044698223,18.857752,0.24776599,-0.06798456,0.04831225,0.0
179,-6.889432,-35.97498,-0.1406577,9.994383,1.5012089,-3.1112998,0.06875199,18.957703,0.20663369,0.15319483,0.04580252,0.0
180,-6.8893485,-35.87504,-0.13859136,9.995914,1.4700959,-3.1641831,0.092534825,19.057646,0.10329061,0.12205738,0.0469702,0.0
181,-6.888532,-35.77508,-0.13755846,9.997135,1.438454,-3.1932173,0.11565281,19.157604,-0.032001402,0.18016782,0.053110298,0.0
182,-6.8868637,-35.675125,-0.13787848,9.998937,1.4065218,-3.1999876,0.13787892,19.257576,-0.13983887,0.09971643,0.044651415,0.0
