Fri Feb 18 16:08:50 2022    log.dat

         31905354 function calls (30848552 primitive calls) in 54.070 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      906    0.057    0.000    0.113    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/graphics/vertexdomain.py:274(draw)
    24843    0.057    0.000    0.381    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/ir/values.py:219(_to_string)
    40158    0.056    0.000    0.186    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/cbook/__init__.py:1325(_to_unmasked_float_array)
     1888    0.056    0.000    0.180    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/lowering.py:321(<listcomp>)
   101855    0.056    0.000    0.056    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/enum.py:646(__new__)
    83385    0.055    0.000    0.172    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/pyplot.py:822(_auto_draw_if_interactive)
   363370    0.055    0.000    0.056    0.000 {method 'extend' of 'list' objects}
    23504    0.054    0.000    0.165    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/ticker.py:663(__call__)
65713/65563    0.054    0.000    0.116    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/ir/_utils.py:54(get_reference)
    10423    0.054    0.000    0.220    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/axis.py:531(update_position)
76511/63629    0.054    0.000    0.098    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/types/abstract.py:117(__hash__)
    37969    0.054    0.000    0.307    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2742(amin)
     4972    0.053    0.000    0.426    0.000 /home/gnone/edoardo-ghignone/pbl_f110_gym/splinify_package/src/splinify/splinify.py:168(get_dphi_dtheta)
    94208    0.053    0.000    0.053    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numpy/core/fromnumeric.py:71(<dictcomp>)
     7232    0.052    0.000    0.441    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/axis.py:1310(_get_tick_label_size)
85754/82633    0.052    0.000    0.071    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/types/abstract.py:120(__eq__)
    90900    0.051    0.000    0.075    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/targetconfig.py:70(getter)
    10074    0.051    0.000    0.225    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/path.py:98(__init__)
    13560    0.051    0.000    0.231    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/transforms.py:1587(transform_path_non_affine)
        1    0.050    0.050    0.050    0.050 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/window/xlib/__init__.py:398(_map)
    15368    0.050    0.000    0.248    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/transforms.py:2716(_revalidate)
    38421    0.050    0.000    0.277    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2617(amax)
    22640    0.049    0.000    0.215    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/transforms.py:1813(frozen)
    31081    0.049    0.000    0.092    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/ir/_utils.py:24(deduplicate)
      904    0.048    0.000    0.742    0.001 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/axes/_base.py:2781(_update_title_position)
    56955    0.048    0.000    0.065    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/event.py:254(on_end)
     7232    0.048    0.000    3.548    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/ticker.py:2266(tick_values)
   141915    0.048    0.000    0.048    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/transforms.py:1900(get_matrix)
    14238    0.048    0.000    0.117    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numpy/core/_asarray.py:293(require)
    36160    0.047    0.000    0.495    0.000 <__array_function__ internals>:2(round_)
38810/34912    0.047    0.000    0.048    0.000 {built-in method _abc._abc_subclasscheck}
   118512    0.047    0.000    0.047    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/transforms.py:1019(get_points)
   250287    0.047    0.000    0.047    0.000 {method 'items' of 'dict' objects}
     7232    0.046    0.000    0.096    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numpy/core/_methods.py:273(_ptp)
     7244    0.046    0.000    0.321    0.000 /home/gnone/edoardo-ghignone/pbl_f110_gym/splinify_package/src/splinify/splinify.py:114(get_angle)
    27819    0.046    0.000    0.107    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/typeconv/typeconv.py:43(check_compatible)
    23504    0.045    0.000    0.102    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/ticker.py:628(_format_maybe_minus_and_locale)
    10074    0.045    0.000    0.083    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/_api/__init__.py:133(check_shape)
    25438    0.045    0.000    0.357    0.000 <__array_function__ internals>:2(reshape)
