x, y
-121.2462158203125, -46.832889556884766
-120.27299499511719, -46.60111999511719
-119.30973052978516, -46.333351135253906
-118.36508178710938, -46.00552749633789
-117.46036529541016, -45.5806770324707
-116.63614654541016, -45.01642608642578
-115.93994140625, -44.299930572509766
-115.4024658203125, -43.457489013671875
-115.02848052978516, -42.53055953979492
-114.80551147460938, -41.555198669433594
-114.71556091308594, -40.55833435058594
-114.73908233642578, -39.55814743041992
-114.8548355102539, -38.565608978271484
-115.04219055175781, -37.58400344848633
-115.28334045410156, -36.61430740356445
-115.56594848632812, -35.65565872192383
-115.88101959228516, -34.70681381225586
-116.22151947021484, -33.76605224609375
-116.58154296875, -32.8306999206543
-116.95435333251953, -31.901561737060547
-117.33602905273438, -30.97504997253418
-117.7214126586914, -30.051515579223633
-118.1069107055664, -29.128677368164062
-118.4892349243164, -28.205001831054688
-118.86672973632812, -27.278383255004883
-119.23819732666016, -26.349275588989258
-119.60093688964844, -25.418087005615234
-119.9508285522461, -24.481515884399414
-120.28678894042969, -23.53966522216797
-120.60813903808594, -22.59331703186035
-120.89962768554688, -21.637439727783203
-121.12152862548828, -20.662866592407227
-121.2259521484375, -19.669231414794922
-121.17818450927734, -18.67190933227539
-120.95480346679688, -17.698347091674805
-120.54275512695312, -16.79068946838379
-119.94601440429688, -15.991339683532715
-119.19829559326172, -15.332136154174805
-118.33934020996094, -14.819287300109863
-117.41770935058594, -14.431337356567383
-116.46599578857422, -14.123173713684082
-115.50331115722656, -13.846144676208496
-114.54026794433594, -13.569477081298828
-113.5805892944336, -13.282488822937012
-112.62459564208984, -12.987288475036621
-111.66959381103516, -12.691069602966309
-110.71244049072266, -12.402009963989258
-109.7509765625, -12.127542495727539
-108.78291320800781, -11.875565528869629
-107.8071517944336, -11.654229164123535
-106.8235855102539, -11.46853256225586
-105.83309173583984, -11.321767807006836
-104.83766174316406, -11.215749740600586
-103.83954620361328, -11.148284912109375
-102.83979034423828, -11.113767623901367
-101.83995819091797, -11.104443550109863
-100.83932495117188, -11.114763259887695
-99.83944702148438, -11.140567779541016
-98.84013366699219, -11.177461624145508
