,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12
1173,-86.385735,-86.30177,-86.2119,-86.40823,-86.2009,-86.38982,-86.51414,-86.46675,-86.277336,-86.38565,-86.41934,-86.241936,-86.3079,-34.765484,-34.836838,-34.917007,-34.747326,-34.92646,-34.763226,-34.659836,-34.697098,-34.85746,-34.767498,-34.73955,-34.888916,-34.831226
1174,-86.46196,-86.37782,-86.287224,-86.484795,-86.27621,-86.46638,-86.59121,-86.54354,-86.353264,-86.462234,-86.49606,-86.31752,-86.38395,-34.700756,-34.77191,-34.85124,-34.683014,-34.860676,-34.69889,-34.59614,-34.63303,-34.792404,-34.703186,-34.675423,-34.823452,-34.76634
1175,-86.53848,-86.454155,-86.362816,-86.56166,-86.351776,-86.54323,-86.668594,-86.620636,-86.429474,-86.53911,-86.5731,-86.39337,-86.46029,-34.636375,-34.70731,-34.785778,-34.619053,-34.795193,-34.63491,-34.53283,-34.569336,-34.727665,-34.639225,-34.61165,-34.758297,-34.701775
1176,-86.61532,-86.530785,-86.43869,-86.63885,-86.42762,-86.6204,-86.74632,-86.69805,-86.50597,-86.616295,-86.650444,-86.46951,-86.53693,-34.572365,-34.64306,-34.72064,-34.555473,-34.730034,-34.5713,-34.469925,-34.506035,-34.663273,-34.575638,-34.54826,-34.693474,-34.637558
1177,-86.69248,-86.60773,-86.514854,-86.716354,-86.50376,-86.69789,-86.824394,-86.77581,-86.58277,-86.6938,-86.72812,-86.54595,-86.61388,-34.50875,-34.579174,-34.655846,-34.492294,-34.66521,-34.508087,-34.407448,-34.44315,-34.59924,-34.512447,-34.48528,-34.629,-34.573715
1178,-86.76999,-86.68499,-86.59134,-86.79421,-86.58021,-86.77573,-86.90283,-86.85393,-86.659904,-86.77165,-86.806145,-86.62271,-86.69116,-34.44555,-34.515682,-34.591415,-34.429535,-34.60075,-34.445293,-34.34543,-34.380707,-34.53559,-34.449677,-34.422726,-34.564903,-34.510265
1179,-86.84785,-86.762596,-86.668144,-86.87243,-86.656975,-86.85391,-86.98165,-86.93241,-86.737366,-86.84985,-86.88453,-86.6998,-86.76879,-34.38279,-34.452606,-34.52737,-34.36722,-34.53667,-34.382946,-34.28389,-34.31873,-34.47235,-34.387344,-34.360626,-34.501198,-34.44723
1180,-86.92608,-86.84055,-86.745285,-86.95102,-86.734085,-86.93247,-87.060875,-87.01128,-86.815186,-86.92843,-86.963295,-86.77723,-86.84678,-34.32049,-34.38997,-34.463737,-34.30538,-34.472996,-34.321064,-34.222862,-34.25724,-34.409542,-34.325485,-34.299004,-34.437916,-34.38464
1181,-87.0047,-86.91888,-86.82279,-87.03,-86.811554,-87.01142,-87.1405,-87.090546,-86.89337,-87.00739,-87.04245,-86.85502,-86.92514,-34.258682,-34.32779,-34.400536,-34.244038,-34.40975,-34.259678,-34.16237,-34.196266,-34.347187,-34.264114,-34.23789,-34.375072,-34.32251
1182,-87.08372,-86.99758,-86.90066,-87.109375,-86.88938,-87.09077,-87.22056,-87.17023,-86.97193,-87.086754,-87.12202,-86.93319,-87.00388,-34.197388,-34.266098,-34.33779,-34.183212,-34.34696,-34.198807,-34.102436,-34.135838,-34.285313,-34.203266,-34.1773,-34.31269,-34.26087
1183,-87.16315,-87.07669,-86.97892,-87.18917,-86.9676,-87.17053,-87.30105,-87.250336,-87.05089,-87.166534,-87.201996,-87.01174,-87.08303,-34.13663,-34.204914,-34.275528,-34.122936,-34.284645,-34.138485,-34.043095,-34.075977,-34.22394,-34.142963,-34.11727,-34.250805,-34.19975
1184,-87.243004,-87.156204,-87.05757,-87.2694,-87.04621,-87.25072,-87.38199,-87.33088,-87.13026,-87.246735,-87.28241,-87.0907,-87.1626,-34.07644,-34.14427,-34.21377,-34.063236,-34.22283,-34.078735,-33.98437,-34.01671,-34.163097,-34.08323,-34.057827,-34.189434,-34.139168
1185,-87.32331,-87.236145,-87.13664,-87.35007,-87.12524,-87.33135,-87.463394,-87.41189,-87.21004,-87.327385,-87.36327,-87.17007,-87.24259,-34.01684,-34.08419,-34.152542,-34.004135,-34.161545,-34.01958,-33.926292,-33.95807,-34.10281,-34.024097,-33.99899,-34.1286,-34.079155
