,s_x,s_y,delta,velocity,yaw,yaw_der,slip_angle,steer_v,acceleration,param,comp_time,lap_finished,out_of_soft
247,2.9200165,-6.883193,0.13246886,9.724754,3.780872,3.1107268,-0.2895416,0.44007006,-0.9661707,25.054783,0.015476465,0.0,0.0
248,2.828656,-6.916515,0.13686956,9.715093,3.8119793,3.1330435,-0.3014976,0.6415302,-0.83819836,25.14203,0.016282395,0.0,0.0
249,2.7380404,-6.9515452,0.14328487,9.706711,3.8433099,3.1497815,-0.312894,0.6756539,-0.66949314,25.239182,0.014679223,0.0,0.0
250,2.6482189,-6.9883437,0.1500414,9.700016,3.8748076,3.1623359,-0.32365188,0.69340116,-0.5062851,25.326248,0.016092526,0.0,0.0
251,2.5592413,-7.02697,0.15697542,9.694953,3.906431,3.171751,-0.3337589,-0.22919588,-0.35041225,25.423248,0.015224486,0.0,0.0
252,2.4711611,-7.0674806,0.15468346,9.691449,3.9381485,3.1788118,-0.34321862,-0.3764525,-0.42800975,25.510199,0.014674103,0.0,0.0
253,2.3840358,-7.1099257,0.15091893,9.687169,3.9699366,3.184108,-0.35229352,-1.239059,-0.5391161,25.597113,0.015572397,0.0,0.0
254,2.2979352,-7.1543193,0.13852835,9.681778,4.0017776,3.1880786,-0.36102527,-2.3696225,-0.8554908,25.683985,0.014749964,0.0,0.0
255,2.2129307,-7.200665,0.11483212,9.673223,4.0336585,3.1910584,-0.36965683,-2.2365198,-1.4490302,25.770802,0.014884819,0.0,0.0
256,2.1291006,-7.2489314,0.09246692,9.658732,4.065569,3.1932924,-0.37851506,-2.58825,-2.0157452,25.857534,0.01675093,0.0,0.0
257,2.0465293,-7.299042,0.06658442,9.638575,4.0975018,3.1949675,-0.38756067,-3.0745106,-2.6801445,25.934122,0.014732158,0.0,0.0
258,1.9652961,-7.3509207,0.035839316,9.6117735,4.1294518,3.1962242,-0.39691156,-3.199995,-3.487252,26.020508,0.015573668,0.0,0.0
259,1.8854787,-7.404473,0.0038393664,9.576901,4.1614137,3.1971676,-0.40674558,-3.1999989,-4.346762,26.096624,0.0153711215,0.0,0.0
260,1.807151,-7.4595766,-0.028160624,9.533434,4.1933856,3.1978757,-0.41712937,-3.1999974,-5.2224793,26.182394,0.014596121,0.0,0.0
261,1.7303809,-7.516101,-0.0601606,9.481209,4.225364,3.1984062,-0.4280884,-3.02402,-6.111067,26.257729,0.015572912,0.0,1.0
262,1.6552299,-7.5739083,-0.0904008,9.420098,4.2573485,3.1988046,-0.43965054,-2.42977,-6.951654,26.33254,0.01751263,0.0,1.0
263,1.5817516,-7.6328554,-0.1146985,9.350581,4.289336,3.1991034,-0.45176503,-1.9842424,-7.5972033,26.406742,0.015791947,0.0,1.0
264,1.5099927,-7.6928053,-0.13454093,9.27461,4.321327,3.1993275,-0.46417075,-1.6420188,-8.087513,26.490248,0.015553873,0.0,1.0
265,1.4399952,-7.7536507,-0.15096112,9.193734,4.3533206,3.1994956,-0.4766582,-1.3767493,-8.455893,26.562994,0.014579408,0.0,1.0
