,s_x,s_y,delta,velocity,yaw,yaw_der,slip_angle,steer_v,acceleration,param,comp_time,lap_finished,out_of_soft
532,-9.990404,-21.861572,-0.09605795,5.2503643,4.6983576,-0.8562072,-0.010150251,1.2281771,7.407417,22.463457,0.014953956,0.0,0.0
533,-9.991673,-21.91406,-0.083776176,5.324438,4.6897955,-0.89627105,-0.0047684098,1.5628481,6.9823422,22.51596,0.014235692,0.0,0.0
534,-9.993131,-21.967285,-0.0681477,5.394262,4.680833,-0.89346796,0.00085289933,1.8824888,6.6399164,22.559204,0.014933767,0.0,0.0
535,-9.994786,-22.021202,-0.04932281,5.460661,4.6718984,-0.8481442,0.0064495113,1.8067285,5.8624034,22.613148,0.014796333,0.0,0.0
536,-9.996645,-22.075777,-0.031255525,5.5192847,4.663417,-0.7661323,0.011774558,2.2213583,6.144895,22.657755,0.014314618,0.0,0.0
537,-9.998697,-22.130932,-0.009041941,5.580734,4.6557555,-0.64596677,0.016488621,2.3957438,6.1042867,22.712948,0.01484766,0.0,0.0
538,-10.000937,-22.186695,0.014915497,5.6417766,4.649296,-0.49042073,0.020444857,2.659227,5.7354503,22.758755,0.014684587,0.0,0.0
539,-10.003343,-22.243061,0.041507766,5.699131,4.6443915,-0.30555788,0.023473278,2.7262642,5.4044294,22.815172,0.014479657,0.0,0.0
540,-10.005879,-22.299995,0.06877041,5.7531753,4.641336,-0.09049602,0.025479421,2.620565,5.1405873,22.862164,0.01618292,0.0,0.0
541,-10.0085,-22.357468,0.09497606,5.804581,4.640431,0.15081656,0.026291985,2.3160608,4.76333,22.919695,0.014697807,0.0,0.0
542,-10.01115,-22.415453,0.11813667,5.852215,4.641939,0.41125965,0.025754543,1.8774436,4.2800255,22.977741,0.016703768,0.0,0.0
543,-10.013764,-22.473917,0.1369111,5.895015,4.646052,0.68124735,0.023721028,1.5408347,3.7867143,23.026262,0.016730664,0.0,0.0
544,-10.016276,-22.532814,0.15231945,5.932882,4.6528645,0.9492357,0.020077301,1.2726437,3.3238955,23.085213,0.014769105,0.0,0.0
545,-10.018616,-22.592096,0.16504589,5.966121,4.6623564,1.2076795,0.014847928,1.0530857,2.892356,23.134542,0.024613738,0.0,0.0
546,-10.020715,-22.65172,0.17557675,5.9950447,4.674433,1.4519844,0.008146415,0.9383393,2.7635381,23.194202,0.028729316,0.0,0.0
